student_id;student_name;kampus;skill;score
J0001;Laila Kusuma;Jakarta;agile;87.4
J0001;Laila Kusuma;Jakarta;algorithm design;94.9
J0001;Laila Kusuma;Jakarta;api;81.3
J0001;Laila Kusuma;Jakarta;basic programming;94.9
J0001;Laila Kusuma;Jakarta;basis data / database;97.6
J0001;Laila Kusuma;Jakarta;cloud computing;65.1
J0001;Laila Kusuma;Jakarta;cobit;94.9
J0001;Laila Kusuma;Jakarta;data mining;68.8
J0001;Laila Kusuma;Jakarta;data warehouse;76.6
J0001;Laila Kusuma;Jakarta;decision tree;90.6
J0001;Laila Kusuma;Jakarta;design thinking;77.3
J0001;Laila Kusuma;Jakarta;erd (entity relationship diagram);53.1
J0001;Laila Kusuma;Jakarta;erp (enterprise resource planning);96.9
J0001;Laila Kusuma;Jakarta;etl (extract transform load);71.8
J0001;Laila Kusuma;Jakarta;firewall;76.1
J0001;Laila Kusuma;Jakarta;git;90.2
J0001;Laila Kusuma;Jakarta;graphql;60.0
J0001;Laila Kusuma;Jakarta;html;57.8
J0001;Laila Kusuma;Jakarta;information systems;96.6
J0001;Laila Kusuma;Jakarta;jaringan komputer;75.3
J0001;Laila Kusuma;Jakarta;klasifikasi (data);98.4
J0001;Laila Kusuma;Jakarta;kpi (key performance indicator);66.5
J0001;Laila Kusuma;Jakarta;kriptografi;80.1
J0001;Laila Kusuma;Jakarta;linux;51.3
J0001;Laila Kusuma;Jakarta;machine learning;88.4
J0001;Laila Kusuma;Jakarta;mysql;95.3
J0001;Laila Kusuma;Jakarta;neural network;89.8
J0001;Laila Kusuma;Jakarta;nosql;82.3
J0001;Laila Kusuma;Jakarta;oop (object oriented programming);96.4
J0001;Laila Kusuma;Jakarta;osi layer;63.9
J0001;Laila Kusuma;Jakarta;otorisasi;66.4
J0001;Laila Kusuma;Jakarta;php;84.9
J0001;Laila Kusuma;Jakarta;prototyping;92.8
J0001;Laila Kusuma;Jakarta;pseudocode;77.0
J0001;Laila Kusuma;Jakarta;python;70.6
J0001;Laila Kusuma;Jakarta;regresi;92.8
J0001;Laila Kusuma;Jakarta;rest api;83.7
J0001;Laila Kusuma;Jakarta;routing;94.5
J0001;Laila Kusuma;Jakarta;sap;90.2
J0001;Laila Kusuma;Jakarta;scm (supply chain management);98.0
J0001;Laila Kusuma;Jakarta;scrum;63.4
J0001;Laila Kusuma;Jakarta;sql;82.1
J0001;Laila Kusuma;Jakarta;statistika/probabilitas;97.3
J0001;Laila Kusuma;Jakarta;switching;65.9
J0001;Laila Kusuma;Jakarta;tcp/ip;97.0
J0001;Laila Kusuma;Jakarta;uml (unified modeling language);77.0
J0001;Laila Kusuma;Jakarta;vulnerability assessment;93.3
J0002;Wulan Syahputra;Jakarta;agile;88.8
J0002;Wulan Syahputra;Jakarta;algorithm design;90.0
J0002;Wulan Syahputra;Jakarta;basic programming;90.0
J0002;Wulan Syahputra;Jakarta;basis data / database;92.7
J0002;Wulan Syahputra;Jakarta;cloud computing;95.8
J0002;Wulan Syahputra;Jakarta;cobit;70.1
J0002;Wulan Syahputra;Jakarta;data mining;94.9
J0002;Wulan Syahputra;Jakarta;data warehouse;56.4
J0002;Wulan Syahputra;Jakarta;decision tree;83.1
J0002;Wulan Syahputra;Jakarta;erp (enterprise resource planning);81.6
J0002;Wulan Syahputra;Jakarta;etl (extract transform load);97.6
J0002;Wulan Syahputra;Jakarta;firewall;63.1
J0002;Wulan Syahputra;Jakarta;flowchart;67.2
J0002;Wulan Syahputra;Jakarta;git;72.2
J0002;Wulan Syahputra;Jakarta;graphql;52.4
J0002;Wulan Syahputra;Jakarta;html;89.3
J0002;Wulan Syahputra;Jakarta;information systems;99.7
J0002;Wulan Syahputra;Jakarta;jaringan komputer;68.3
J0002;Wulan Syahputra;Jakarta;klasifikasi (data);98.3
J0002;Wulan Syahputra;Jakarta;kpi (key performance indicator);94.2
J0002;Wulan Syahputra;Jakarta;kriptografi;61.5
J0002;Wulan Syahputra;Jakarta;linux;89.5
J0002;Wulan Syahputra;Jakarta;machine learning;98.3
J0002;Wulan Syahputra;Jakarta;microsoft excel;93.5
J0002;Wulan Syahputra;Jakarta;neural network;66.4
J0002;Wulan Syahputra;Jakarta;nosql;87.1
J0002;Wulan Syahputra;Jakarta;oop (object oriented programming);88.2
J0002;Wulan Syahputra;Jakarta;osi layer;53.7
J0002;Wulan Syahputra;Jakarta;otorisasi;97.9
J0002;Wulan Syahputra;Jakarta;php;89.1
J0002;Wulan Syahputra;Jakarta;prototyping;85.3
J0002;Wulan Syahputra;Jakarta;pseudocode;54.9
J0002;Wulan Syahputra;Jakarta;regresi;59.9
J0002;Wulan Syahputra;Jakarta;routing;93.0
J0002;Wulan Syahputra;Jakarta;sap;91.4
J0002;Wulan Syahputra;Jakarta;scm (supply chain management);69.2
J0002;Wulan Syahputra;Jakarta;sql;80.8
J0002;Wulan Syahputra;Jakarta;statistika/probabilitas;97.3
J0002;Wulan Syahputra;Jakarta;switching;98.7
J0002;Wulan Syahputra;Jakarta;tcp/ip;78.1
J0002;Wulan Syahputra;Jakarta;uml (unified modeling language);88.9
J0002;Wulan Syahputra;Jakarta;vulnerability assessment;81.4
J0003;Galih Kusuma;Jakarta;agile;95.2
J0003;Galih Kusuma;Jakarta;algorithm design;86.7
J0003;Galih Kusuma;Jakarta;api;98.3
J0003;Galih Kusuma;Jakarta;basic programming;86.7
J0003;Galih Kusuma;Jakarta;basis data / database;96.5
J0003;Galih Kusuma;Jakarta;cloud computing;86.2
J0003;Galih Kusuma;Jakarta;cobit;56.3
J0003;Galih Kusuma;Jakarta;data mining;97.6
J0003;Galih Kusuma;Jakarta;decision tree;91.9
J0003;Galih Kusuma;Jakarta;design thinking;88.4
J0003;Galih Kusuma;Jakarta;erd (entity relationship diagram);72.9
J0003;Galih Kusuma;Jakarta;erp (enterprise resource planning);98.7
J0003;Galih Kusuma;Jakarta;etl (extract transform load);78.7
J0003;Galih Kusuma;Jakarta;firewall;67.8
J0003;Galih Kusuma;Jakarta;flowchart;57.0
J0003;Galih Kusuma;Jakarta;git;81.8
J0003;Galih Kusuma;Jakarta;graphql;62.2
