student_id;student_name;campus;id_CLO;skill_original;canonical_skill;score
M0001;Aditya Batubara;Surabaya;SI_CLO-07;regresi;regression analysis;96.0
M0001;Aditya Batubara;Jakarta;SBD_CLO-01-1;erd;erd;94.7
M0001;Aditya Batubara;Surabaya;PEKC_CLO-04;konsep dasar sistem informasi;information systems;89.3
M0001;Aditya Batubara;Jakarta;PAW_CLO-04-2;basis data / database;database;89.0
M0001;Aditya Batubara;Jakarta;PD_CLO-02-1;data mining;data mining;83.3
M0001;Aditya Batubara;ITS;ITS_ADDD245_CLO1_334;visualisasi;data visualization;83.2
M0001;Aditya Batubara;ITS;ITS_PD115_CLO4_271;java;java;82.6
M0001;Aditya Batubara;Jakarta;PAW_CLO-01-2;rest api;rest api;82.2
M0001;Aditya Batubara;Surabaya;PAW_CLO-01-2;css;css;82.2
M0001;Aditya Batubara;Jakarta;DWBI_CLO-02-2;cloud computing;cloud computing;81.6
M0001;Aditya Batubara;Surabaya;DWBI_CLO-02-2;data warehouse;data warehousing;81.6
M0001;Aditya Batubara;ITS;ITS_PDAP829_CLO1_357;algoritma heuristik;heuristic algorithms;80.8
M0001;Aditya Batubara;ITS;ITS_RKPL832_CLO1_368;memvalidasi;data validation;79.0
M0001;Aditya Batubara;ITS;ITS_PSK856_CLO1_323;cognitive problem solver;problem solving;78.7
M0001;Aditya Batubara;ITS;ITS_SKBM366_CLO1_393;simulasi;simulation modeling;78.0
M0001;Aditya Batubara;Jakarta;PAW_CLO-04-1;php;php;77.6
M0001;Aditya Batubara;ITS;ITS_FD704_CLO1_295;infrastruktur sistem;it infrastructure;77.2
M0001;Aditya Batubara;Surabaya;PAW_CLO-01-1;html;html;77.0
M0001;Aditya Batubara;ITS;ITS_PBA126_CLO1_363;analisis data;data analysis;75.7
M0001;Aditya Batubara;ITS;ITS_DDMJK126_CLO3_260;ipv6;ipv6;75.5
M0001;Aditya Batubara;Jakarta;JK_CLO-01-2;osi layer;osi model;73.4
M0001;Aditya Batubara;Surabaya;JK_CLO-01-2;jaringan komputer;networking;73.4
M0001;Aditya Batubara;ITS;ITS_SBD331_CLO1_373;arsitektur sistem basis data;database architecture;72.0
M0001;Aditya Batubara;Jakarta;CDAP_CLO-06;prototyping;prototyping;68.7
M0001;Aditya Batubara;Jakarta;JK_CLO-03-1;routing;routing;66.8
M0001;Aditya Batubara;Jakarta;SBD_CLO-02-1;sql;sql;65.3
M0001;Aditya Batubara;ITS;ITS_MRP265_CLO1_349;perencanaan agregat;aggregate planning;64.7
M0002;Aldi Setiawan;ITS;ITS_ADSD677_CLO1_290;struktur data;data structures;88.9
M0002;Aldi Setiawan;ITS;ITS_LDSD341_CLO1;logika;logic;88.2
M0002;Aldi Setiawan;Surabaya;ATI_CLO-03;konsep dasar sistem informasi;information systems;85.4
M0002;Aldi Setiawan;Jakarta;SBD_CLO-03-2;basis data / database;database;83.0
M0002;Aldi Setiawan;ITS;ITS_DDMJK126_CLO4_262;perangkat jaringan;networking;81.3
M0002;Aldi Setiawan;Surabaya;APB_CLO-02-2;microservices;microservices;81.0
M0002;Aldi Setiawan;ITS;ITS_PST697_CLO1_313;tatakelola ti;it governance;80.0
M0002;Aldi Setiawan;Surabaya;DWBI_CLO-01;business intelligence;business intelligence;79.6
M0002;Aldi Setiawan;Jakarta;SI_CLO-01;statistika/probabilitas;statistics;79.2
M0002;Aldi Setiawan;ITS;ITS_SE608_CLO1_381;integrasi proses bisnis;business process integration;79.1
M0002;Aldi Setiawan;Jakarta;PAW_CLO-02-2;html;html;77.7
M0002;Aldi Setiawan;Surabaya;PAW_CLO-02-2;laravel;laravel;77.7
M0002;Aldi Setiawan;Jakarta;KSI_CLO-03-2;vulnerability assessment;vulnerability assessment;76.8
M0002;Aldi Setiawan;ITS;ITS_ADDD245_CLO1_332;analytics;analytics;76.4
M0002;Aldi Setiawan;Jakarta;MRP_CLO-02-2;scm;scm;76.0
M0002;Aldi Setiawan;Jakarta;SO_CLO-03-1;linux;linux;75.6
M0002;Aldi Setiawan;Surabaya;SO_CLO-03-1;http;http;75.6
M0002;Aldi Setiawan;Jakarta;PAW_CLO-02-1;php;php;74.5
